date,positive
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,0
2/1/20,0
2/2/20,0
2/3/20,0
2/4/20,0
2/5/20,0
2/6/20,0
2/7/20,0
2/8/20,0
2/9/20,0
2/10/20,0
2/11/20,0
2/12/20,0
2/13/20,0
2/14/20,0
2/15/20,0
2/16/20,0
2/17/20,0
2/18/20,0
2/19/20,0
2/20/20,0
2/21/20,0
2/22/20,0
2/23/20,0
2/24/20,0
2/25/20,0
2/26/20,0
2/27/20,0
2/28/20,0
2/29/20,18
3/1/20,50
3/2/20,94
3/3/20,144
3/4/20,282
3/5/20,386
3/6/20,499
3/7/20,672
3/8/20,871
3/9/20,1163
3/10/20,1554
3/11/20,2056
3/12/20,2729
3/13/20,3787
3/14/20,4704
3/15/20,5996
3/16/20,7750
3/17/20,10321
3/18/20,13346
3/19/20,18023
3/20/20,24113
3/21/20,30909
3/22/20,40067
3/23/20,51476
3/24/20,62170
3/25/20,75092
3/26/20,92633
3/27/20,111887
3/28/20,131474
3/29/20,151046
3/30/20,172733
3/31/20,197578
4/1/20,223655
4/2/20,251690
4/3/20,283456
4/4/20,316420
4/5/20,342028
4/6/20,370620
4/7/20,401241
4/8/20,432216
4/9/20,466856
4/10/20,501102
4/11/20,531728
4/12/20,559715
4/13/20,584473
4/14/20,610348
4/15/20,640103
4/16/20,671592
4/17/20,703593
4/18/20,731433
4/19/20,758834
4/20/20,784780
4/21/20,811058
4/22/20,840062
4/23/20,872048
4/24/20,905746
4/25/20,941680
4/26/20,969045
4/27/20,991648
4/28/20,1016960
4/29/20,1043097
4/30/20,1073034
5/1/20,1105967
5/2/20,1134916
5/3/20,1160598
5/4/20,1183174
5/5/20,1205573
5/6/20,1230663
5/7/20,1257943
5/8/20,1285029
5/9/20,1310198
5/10/20,1331320
5/11/20,1349650
5/12/20,1372170
5/13/20,1393748
5/14/20,1420429
5/15/20,1445800
5/16/20,1469360
5/17/20,1489704
5/18/20,1510516
5/19/20,1531440
5/20/20,1552634
5/21/20,1579268
5/22/20,1603541
5/23/20,1625708
5/24/20,1644856
5/25/20,1663567
5/26/20,1680323
5/27/20,1699812
5/28/20,1722328
5/29/20,1745761
5/30/20,1769203
5/31/20,1790866
6/1/20,1811261
6/2/20,1831294
6/3/20,1851496
6/4/20,1871754
6/5/20,1894758
6/6/20,1917531
6/7/20,1936417
6/8/20,1953636
6/9/20,1970885
6/10/20,1991522
6/11/20,2013624
6/12/20,2036809
6/13/20,2061940
6/14/20,2083348
6/15/20,2101926
6/16/20,2125254
6/17/20,2149027
6/18/20,2176162
6/19/20,2207045
6/20/20,2239056
6/21/20,2268046
6/22/20,2295120
6/23/20,2328967
6/24/20,2367894
6/25/20,2407463
6/26/20,2451835
6/27/20,2494824
6/28/20,2536117
6/29/20,2575980
6/30/20,2623618
7/1/20,2674545
7/2/20,2727929
7/3/20,2781661
7/4/20,2835794
7/5/20,2881103
7/6/20,2922546
7/7/20,2974104
7/8/20,3036725
7/9/20,3095785
7/10/20,3162288
7/11/20,3224953
7/12/20,3285972
7/13/20,3343559
7/14/20,3406218
7/15/20,3471708
7/16/20,3542082
7/17/20,3618232
7/18/20,3682868
7/19/20,3746720
7/20/20,3803577
7/21/20,3867074
7/22/20,3936263
7/23/20,4007487
7/24/20,4082317
