Date,C,GS,JPM,MS
1/3/05,482.70,104.95,25.32,55.90
1/4/05,478.60,104.27,25.06,55.30
1/5/05,484.60,103.80,25.11,54.98
1/6/05,489.30,105.23,25.26,56.28
1/7/05,486.50,104.78,25.06,56.06
1/10/05,483.40,104.98,24.97,56.05
1/11/05,482.20,104.17,24.73,55.45
1/12/05,480.70,103.27,24.79,55.28
1/13/05,476.00,102.94,24.64,55.50
1/14/05,475.10,104.22,24.67,56.07
1/18/05,481.70,105.00,25.06,56.45
1/19/05,480.40,104.06,24.69,55.43
1/20/05,477.70,103.40,24.31,54.85
1/21/05,479.30,103.33,24.04,54.48
1/24/05,483.60,103.24,24.06,54.07
1/25/05,485.10,102.86,24.05,54.40
1/26/05,484.80,103.26,24.03,54.17
1/27/05,485.60,104.00,23.98,53.75
1/28/05,483.80,106.12,24.14,54.37
1/31/05,490.50,107.85,24.36,55.96
2/1/05,494.80,108.40,24.47,57.25
2/2/05,496.80,108.59,24.48,57.07
2/3/05,491.50,108.74,24.40,57.18
2/4/05,497.80,110.02,24.59,58.68
2/7/05,497.30,109.59,24.78,58.07
2/8/05,494.80,111.55,24.64,58.60
2/9/05,491.80,111.45,24.47,58.17
2/10/05,489.80,112.77,24.44,58.87
2/11/05,494.00,112.77,24.46,60.32
2/14/05,492.50,111.97,24.47,60.27
2/15/05,494.00,112.71,24.50,60.00
2/16/05,491.80,112.27,24.36,59.73
2/17/05,488.00,110.60,24.00,59.61
2/18/05,485.70,109.00,23.82,57.65
2/22/05,479.50,107.86,23.44,56.88
2/23/05,483.80,109.11,23.80,57.03
2/24/05,483.00,108.50,23.93,56.71
2/25/05,482.80,110.10,24.12,57.66
2/28/05,477.20,108.80,23.85,56.47
3/1/05,478.80,110.02,24.20,56.95
3/2/05,481.30,109.73,24.14,56.74
3/3/05,479.70,109.41,24.15,56.93
3/4/05,484.00,111.53,24.48,58.39
3/7/05,484.70,112.80,24.36,59.20
3/8/05,484.70,112.63,24.10,59.40
3/9/05,478.80,110.87,23.80,59.96
3/10/05,481.50,111.33,23.72,59.98
3/11/05,477.90,109.55,23.56,58.49
3/14/05,482.20,110.00,23.78,59.00
3/15/05,478.00,110.54,23.65,58.85
3/16/05,473.70,109.97,23.65,57.95
3/17/05,472.40,110.04,23.59,57.07
3/18/05,468.50,109.98,23.50,57.78
3/21/05,457.60,109.60,23.35,57.01
3/22/05,444.40,107.99,22.88,55.70
3/23/05,444.50,108.06,22.79,55.64
3/24/05,445.20,108.40,22.79,55.59
3/28/05,447.70,109.68,22.74,55.48
3/29/05,443.50,108.45,22.56,53.61
3/30/05,449.20,109.80,22.80,55.28
3/31/05,449.40,109.99,22.58,57.25
4/1/05,446.20,109.30,22.35,56.87
4/4/05,445.90,111.00,22.26,58.30
4/5/05,449.40,110.59,22.79,56.45
4/6/05,451.50,112.50,22.86,56.60
4/7/05,454.60,113.53,22.93,55.98
4/8/05,454.00,112.93,22.74,55.67
4/11/05,456.10,112.09,22.82,54.34
4/12/05,464.50,111.76,23.09,54.75
4/13/05,458.10,110.01,22.78,53.13
4/14/05,454.00,108.49,22.53,52.33
4/15/05,457.50,106.49,22.36,51.49
4/18/05,462.10,107.35,22.83,51.58
4/19/05,463.50,106.69,23.03,51.73
4/20/05,461.30,104.33,22.91,50.19
4/21/05,462.70,105.11,23.09,51.18
4/22/05,463.20,104.19,22.98,50.25
4/25/05,467.80,105.74,23.18,51.22
4/26/05,466.20,105.72,23.12,50.54
4/27/05,470.50,107.76,23.40,51.18
4/28/05,461.90,106.23,23.08,50.44
4/29/05,469.60,106.79,23.39,52.62
5/2/05,465.30,104.46,23.44,49.39
5/3/05,468.00,104.37,23.40,49.42
5/4/05,469.70,106.27,23.79,50.38
5/5/05,468.80,105.30,23.66,50.25
5/6/05,465.90,104.68,23.47,50.05
5/9/05,468.50,105.50,23.70,50.75
5/10/05,463.80,102.11,23.16,49.42
5/11/05,467.00,103.75,23.26,49.85
5/12/05,464.10,100.22,22.95,49.40
5/13/05,459.10,97.82,22.71,48.22
5/16/05,468.00,98.42,22.89,48.80
5/17/05,471.60,98.35,23.20,48.66
5/18/05,477.40,99.58,23.76,48.92
5/19/05,478.40,100.12,23.85,50.15
5/20/05,478.00,101.08,23.76,50.00
5/23/05,476.00,100.69,23.67,49.89
5/24/05,477.10,99.58,23.65,49.41
5/25/05,474.50,97.25,23.67,49.50
5/26/05,473.80,96.60,23.69,49.26
5/27/05,472.80,95.50,23.59,49.26
5/31/05,471.10,97.50,23.56,48.96
6/1/05,477.20,98.64,23.57,50.07
6/2/05,477.10,97.67,23.55,49.28
6/3/05,475.60,97.30,23.43,48.91
6/6/05,476.90,98.42,23.40,49.11
6/7/05,476.60,98.40,23.38,49.14
6/8/05,477.50,98.35,23.51,49.44
6/9/05,476.80,99.95,23.40,49.63
6/10/05,476.40,99.05,23.35,49.88
6/13/05,476.00,99.26,23.40,50.88
6/14/05,474.10,98.30,23.46,50.60
6/15/05,474.00,99.19,23.53,50.61
6/16/05,475.40,102.65,23.66,51.90
6/17/05,474.60,103.80,23.78,51.38
6/20/05,473.70,103.25,23.76,51.56
6/21/05,473.20,102.64,23.75,50.97
6/22/05,474.40,102.47,23.90,50.52
6/23/05,468.80,102.02,23.68,51.72
6/24/05,469.50,103.67,23.44,53.12
6/27/05,467.70,103.20,23.46,53.05
6/28/05,470.20,103.96,23.67,53.02
6/29/05,467.80,102.79,23.70,53.32
6/30/05,462.30,102.02,23.28,52.47
7/1/05,461.60,102.71,23.33,53.03
7/5/05,464.60,103.18,23.27,53.77
7/6/05,463.00,103.55,23.02,53.36
7/7/05,462.70,104.10,22.93,53.34
7/8/05,465.10,105.65,23.16,53.12
7/11/05,461.10,107.31,23.26,53.57
7/12/05,460.00,107.24,23.46,53.51
7/13/05,457.40,108.00,23.62,53.47
7/14/05,465.00,108.55,23.75,53.72
7/15/05,464.20,108.50,23.86,53.64
7/18/05,450.00,108.24,23.63,53.40
7/19/05,444.00,109.72,23.43,53.51
7/20/05,442.10,109.61,23.40,53.75
7/21/05,441.50,108.25,23.56,53.38
7/22/05,444.20,109.13,23.69,54.00
7/25/05,445.30,108.32,23.58,53.96
7/26/05,446.00,107.72,23.54,53.71
7/27/05,443.90,109.15,23.52,53.51
7/28/05,438.60,109.67,23.60,53.57
7/29/05,435.00,107.48,23.38,53.05
8/1/05,437.00,107.12,23.49,52.84
8/2/05,440.70,109.52,23.66,53.62
8/3/05,440.50,110.87,23.70,54.42
8/4/05,439.20,109.25,23.60,53.50
8/5/05,436.30,109.70,23.46,52.65
8/8/05,433.00,109.91,23.28,52.10
8/9/05,436.00,111.48,23.31,52.58
8/10/05,433.00,112.03,23.16,53.13
8/11/05,435.10,114.14,23.16,54.00
8/12/05,436.20,113.65,22.83,52.85
8/15/05,437.90,114.67,23.06,53.60
8/16/05,441.40,112.08,23.01,52.96
8/17/05,441.00,111.13,22.93,52.85
8/18/05,442.10,110.85,23.06,52.30
8/19/05,441.60,111.27,22.98,52.04
8/22/05,442.00,111.70,22.96,52.29
8/23/05,435.60,111.80,22.86,52.40
8/24/05,430.50,109.99,22.53,51.53
